,paperID,pos_score,sent_pos,text
405,pagesOfTextToDisplay-1,0.9456892609596252,405,"Participants and Methods We recruited 12 participants, all professional analysts or graduate students who regularly work with data."
428,pagesOfTextToDisplay-1,0.8720768094062805,428,"Afterwards, each user completed a post-study questionnaire."
376,pagesOfTextToDisplay-1,0.790040910243988,376,"d) We then enumerate all candidate before , selection and after combinations."
368,pagesOfTextToDisplay-1,0.5038217902183533,368,The first three criteria rank transforms by their type; the remaining two rank transforms within types. (
116,pagesOfTextToDisplay-1,0.3560963273048401,116,Filling missing values.
431,pagesOfTextToDisplay-1,0.30528390407562256,431,Task completion times.
407,pagesOfTextToDisplay-1,0.27514925599098206,407,Participants had never used the Wrangler interface.
89,pagesOfTextToDisplay-1,0.25300824642181396,89,"To the left of the table is a panel containing an interactive history, a transform menu, and a transform editor."
411,pagesOfTextToDisplay-1,0.2210773527622223,411,"In each task, we asked subjects to transform a data set into a new format, presented to them as a picture of the final data table."
372,pagesOfTextToDisplay-1,0.20860974490642548,372,b) We tokenize selected and surrounding text.
409,pagesOfTextToDisplay-1,0.19945864379405975,409,We then asked subjects to complete three tasks (described below) using both Wrangler and Excel.
139,pagesOfTextToDisplay-1,0.18947076797485352,139,She selects the text 'Reported' in row 0.
388,pagesOfTextToDisplay-1,0.17481668293476105,388,We then sort transforms within type.
383,pagesOfTextToDisplay-1,0.161858931183815,383,We thus label row and text selections as hard and all others as easy .
157,pagesOfTextToDisplay-1,0.15760868787765503,157,NEWLINE).max_splits(dwsplit.
163,pagesOfTextToDisplay-1,0.15760868787765503,163,COPY).direction(dw.
160,pagesOfTextToDisplay-1,0.15760868787765503,160,TAB).max_splits(dwsplit.
400,pagesOfTextToDisplay-1,0.14729928970336914,400,Our goal was to compare task completion times and observe data cleaning strategies.
438,pagesOfTextToDisplay-1,0.13077737390995026,438,"Across all tasks, median performance in Wrangler was over twice as fast as Excel (Fig."
112,pagesOfTextToDisplay-1,0.11704270541667938,112,Text extraction.
426,pagesOfTextToDisplay-1,0.10836628079414368,426,We permitted a maximum of 10 minutes per task.
437,pagesOfTextToDisplay-1,0.09839113056659698,437,No other interactions were significant.
179,pagesOfTextToDisplay-1,0.09339005500078201,179,We go on to discuss the technical details of our inference engine.
421,pagesOfTextToDisplay-1,0.07796253263950348,421,"Users started with three columns of housing data: year, month, and price."
432,pagesOfTextToDisplay-1,0.0684281662106514,432,Black bars indicate median values.
16,pagesOfTextToDisplay-1,0.059586767107248306,16,Copyright 2011 ACM 978-1-4503-0267-8/11/05...$5.00.
38,pagesOfTextToDisplay-1,0.05919957906007767,38,The Wrangler Interface.
